chapter,question_type,question,options,answer
0,Single Choice,党的二十大明确提出习近平新时代中国特色社会主义思想的世界观、方法论和贯彻其中的立场观点方法，概况为()。,A. 五个必由之路;B. 六个必须坚持;C. 四个全面;D. 五位一体,B
0,Single Choice,习近平新时代中国特色社会主义思想创立的国际背景是()。,A. 党的自我革命新的境界;B. 中华民族伟大复兴的战略全局;C. 中国式现代化全面推进;D. 世界百年未有的大变局,D
0,Single Choice,在党的第一个百年目标全面建成小康社会实现之后，我们开启( )。,A. 实现全体人民共同富裕的时代;B. 全面建设社会主义现代化国家新征程;C. 进入中国特色社会主义新时代;D. 实现中华民族伟大复兴,B
0,Single Choice,建设中国特色社会主义法治体系、建设社会主义法治国家是全面依法治国的()。,A. 总抓手;B. 总要求;C. 总目标;D. 总任务,C
0,Single Choice,党的十九大明确指出，我国社会主要矛盾已经转化为( )。,A. 人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾;B. 人民对于建设先进的工业国的要求同落后的农业国的现实之间的矛盾;C. 人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾;D. 人民日益增长的物质文化需要同落后的社会生产之间的矛盾,A
0,Single Choice,中国共产党的根本宗旨是( )。,A. 实现中华民族伟大复兴;B. 全心全意为人民服务;C. 维护国家统一及社会和谐稳定;D. 统筹经济社会等各方面发展,B
0,Single Choice,中国特色社会主义最本质的特征是()。,A. 党的领导;B. 政治协商;C. 依法治国;D. 以德治国,A
0,Single Choice,( )把习近平新时代中国特色社会主义思想确立为党必须长期坚持的指导思想写入了党章，实现了党的指导思想的与时俱进。,A. 十八大;B. 十九大;C. 十九届六中全会;D. 十八届四中全会,B
0,Single Choice,习近平同志为核心的党中央团结带领全党全国各族人民，以坚如磐石的战略定力、开拓创新的进取精神，推进党和国家事业取得举世瞩目的伟大成就，开创了中国特色社会主义()。,A. 新时代;B. 新境界;C. 新时期;D. 新阶段,A
0,Single Choice,实现社会主义现代化和中华民族伟大复兴，是坚持和发展中国特色社会主义的()。,A. 总布局;B. 总任务;C. 总依据;D. 总路线,B
0,Single Choice,新时代经过全党的共同努力，我们党找到了跳出治乱兴衰历史周期率的第二个答案，内容是(),A. 社会主义核心价值观;B. 党的自我革命;C. 人民民主;D. 社会主义法治,B
0,Single Choice,习近平新时代中国特色社会主义思想内涵十分丰富，其中主体内容为()。,A. “四个全面”;B. “五位一体”;C. “十个明确”;D. “十四个坚持”,C
0,Single Choice,( )是习近平新时代中国特色社会主义思想的重要组成部分，是在治国理政各方面作出的理论分析和政策指导，构成了新时代坚持和发展中国特色社会主义的基本方略。,A. “四个全面”;B. “五位一体”;C. “六个必须坚持”;D. “十四个坚持”,D
0,Single Choice,习近平新时代中国特色社会主义思想，把马克思主义基本原理同中国具体实际相结，同( )合相结合，使马克思主义这个魂脉和中华优秀传统文化这个根脉内在贯通、相互成就，是中华民族的文化主体性最有力的体现，是中华文化和中国精神的时代精华。,A. 中华优秀传统文化;B. 儒家思想;C. 历史唯物主义;D. 价值观,A
0,Single Choice,( )是马克思主义在当代中国发展的最新理论成果，开辟了马克思主义中国化时代化新境界。,A. “三个代表”重要思想;B. 邓小平理论;C. 毛泽东思想;D. 习近平新时代中国特色社会主义思想,D
0,Multiple Choice,习近平新时代中国特色社会主义思想正是在中华民族迎来从()的伟大飞跃，实现中华民族伟大复兴进入不可逆转的历史进程中创立并不断丰富发展的。,A. 醒起来;B. 富起来;C. 强起来;D. 站起来,BCD
0,Multiple Choice,习近平新时代中国特色社会主义思想创立的时代背景()。,A. 党的自我革命新的境界;B. 中国式现代化全面推进;C. 中华民族伟大复兴的战略全局;D. 世界百年未有的大变局,ABCD
0,Multiple Choice,影响满足人民美好生活需要的因素很多，但主要是发展( )问题。,A. 不够快;B. 不充分;C. 不平衡;D. 不完善,BC
0,Multiple Choice,发展是解决我国一切问题的基础和关键，发展必须是科学发展，必须坚定不移贯彻()。的发展理念。,A. 绿色;B. 创新;C. 开放;D. 协调;E. 共享,ABCDE
0,Multiple Choice,中国特色社会主义必须坚持( )。,A. 理论自信;B. 文化自信;C. 道路自信;D. 制度自信,ABCD
0,Multiple Choice,习近平新时代中国特色社会主义思想，把马克思主义基本原理同( )合相结合的重大成果，是坚持“两个结合”的光辉典范。,A. 中华优秀传统文化;B. 全人类共同价值;C. 儒家思想;D. 中国具体实际,AD
0,Multiple Choice,中国特色社会主义事业的总体布局包括( )。,A. 文化建设;B. 经济建设;C. 社会建设;D. 生态文明建设;E. 政治建设,ABCDE
0,Multiple Choice,以下对坚持和发展中国特色社会主义基本方略的“十四个坚持”理解正确的是( )。,A. 是习近平个人思想的结晶;B. 是新时代中国特色社会主义基本方略;C. 是习近平新时代中国特色社会主义思想的重要组成部分;D. 是在治国理政方面作出的理论分析和政策指导,BCD
0,Multiple Choice,习近平新时代中国特色社会主义思想内涵十分丰富，其中最重要、最核心的内容就是党的十九大报告概括的“十个明确”。“十个明确”( )。,A. 回答的是新时代坚持和发展什么样的中国特色社会主义的问题;B. 回答的是新时代怎样坚持和发展中国特色社会主义的问题;C. 是行动纲领层面的表述;D. 是指导思想层面的表述,AD
0,Multiple Choice,中国特色社会主义事业的战略布局包括( )。,A. 全面建设社会主义现代化国家;B. 全面深化改革;C. 全面从严治党;D. 全面依法治国,ABCD
0,Multiple Choice,习近平新时代中国特色社会主义思想是( )。,A. 当代中国马克思主义;B. 马克思主义中国化的新飞跃;C. 马克思主义中国化最新成果;D. 21世纪马克思主义,ABCD
0,Multiple Choice,习近平新时代中国特色社会主义思想指导我们党团结带领全国各族人民，统揽()，开创了中国特色社会主义新时代。,A. 伟大梦想;B. 伟大斗争;C. 伟大事业;D. 伟大工程,ABCD
0,Multiple Choice,习近平新时代中国特色社会主义思想是( )的集中体现。,A. 人民意志;B. 群众意志;C. 国家意志;D. 党的意志,ACD
0,Multiple Choice,坚持党对人民军队的决定领导，要建设一支( )的人民军队。,A. 能打胜仗;B. 机械化;C. 听党指挥;D. 作风优良,ACD
0,Multiple Choice,以下属于习近平新时代中国特色社会主义思想世界观和方法论的是( )。,A. 坚持人民至上;B. 坚持问题导向;C. 坚持自信自立;D. 坚持守正创新,ABCD
0,True or False,“两个确立”，是党在新时代取得的重大政治成果，对新时代党和国家事业发展、对推进中华民族伟大复兴历史进程具有决定性意义。,A. 对;B. 错,A
0,True or False,新时代我国主要矛盾发生了变化，这就意味着当前我国社会主义初级阶段的基本国情发生了改变。,A. 对;B. 错,B
0,True or False,党的十八大以来，中国特色社会主义进入新时代，这是中国发展崭新的历史方位。,A. 对;B. 错,A
0,True or False,习近平新时代中国特色社会主义事业的战略布局是“四个全面”。,A. 对;B. 错,A
0,True or False,坚持把马克思主义基本原理同中国具体实际相结合、同中华优秀传统文化相结合，是习近平新时代中国特色社会主义思想坚持的基本方法。,A. 对;B. 错,A
1,Single Choice,经过长期努力，中国特色社会主义进入新时代，这是我国发展新的( )。,A. 历史地位;B. 历史方位;C. 历史阶段;D. 历史时期,B
1,Single Choice,( )是习近平新时代中国特色社会主义思想的核心要义。,A. 坚持马克思主义;B. 坚持党的领导;C. 坚持人民民主专政;D. 坚持和发展中国特色社会主义,D
1,Single Choice,党的基本理论、基本路线、基本方略，事关党的前途命运，事关中国特色社会主义事业兴衰成败。( )是坚持和发展中国特色社会主义的行动指南。,A. 党的基本方略;B. 党的基本路线;C. 党的基本理论;D. 党的指导原则,C
1,Single Choice,新时代十年的伟大变革，在党史、新中国史、改革开放史、社会主义发展史、( )上具有里程碑意义。,A. 社会主义建设史;B. 中华民族发展史;C. 共和国史;D. 人类文明发展史,B
1,Single Choice,“四个自信”中，道路是实现途径，理论体系是行动指南，制度是根本保障，文化是精神力量，四者统一于( )。,A. 中华民族伟大复兴;B. 中国共产党的领导;C. 中国特色社会主义道路;D. 社会主义伟大实践,D
1,Single Choice,党的十八大以来，我们党的全部理论和实践探索都是围绕( )这个主题来展开、深化和拓展的。,A. 坚持和发展中国特色社会主义;B. 什么是社会主义，怎样建设社会主义;C. 实现什么样发展，怎样发展;D. 建设一个什么样的党，怎样建设党,A
1,Single Choice,从全面建设社会主义现代化国家进程的阶段安排看来，到2035年，我国将( )。,A. 把我国建设成为富强美丽文明和谐的社会现代化强国;B. 基本实现社会主义现代化;C. 实现中华民族伟大复兴的中国梦;D. 全面建成小康社会,B
1,Single Choice,中国特色社会主义的总体布局是( )。,A. “六位一体”;B. “四位一体”;C. “三位一体”;D. “五位一体”,D
1,Single Choice,综合分析国际国内形势和我国发展条件，党的十九大提出我们要全面建成小康社会，实现第一个百年奋斗目标，然后再乘势而上开启( )新征程。,A. 基本实现社会主义现代化;B. 全面建设社会主义现代化国家;C. 全面建成小康社会;D. 中国特色 社会主义事业,B
1,Single Choice,进入新时代的重要依据是( )。,A. 社会主要矛盾变化;B. 社会基本矛盾变化;C. 发展的不平衡;D. 发展的不充分,A
1,Single Choice,中国特色社会主义的战略布局是( )。,A. “十个明确”;B. “十四个坚持”;C. “五位一体”;D. “四个全面”,D
1,Single Choice,坚持和发展中国特色社会主义，总任务是( )。,A. 建设中国特色社会主义法治体系、建设社会主义法治国家;B. 建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队;C. 完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化;D. 实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分两步走在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国,D
1,Single Choice,中华民族迎来了从站起来、富起来、强起来的伟大飞跃，实现( )进入了不可逆转的历史进程。,A. 全面推进乡村振兴;B. 建设社会主义现代化;C. 中华民族伟大复兴;D. 全面建成小康社会,C
1,Single Choice,“四个全面”战略布局既有战略目标又有战略举措，每个“全面”之间具有紧密的内在逻辑，是一个整体战略部署的有序展开。( )是战略目标，在“四个全面”中居于引领地位。,A. 全面建设社会主义现代化国家;B. 全面深化改革;C. 全面依法治国;D. 全面从严治党,A
1,Single Choice,要按照“五位一体”总体布局的整体性目标要求，坚持以( )为中心，努力推动社会主义物质文明、政治文明、精神文明、社会文明、生态文明协调发展，不断推进和拓展中国式现代化，不断丰富和发展人类文明新形态。,A. 政治建设;B. 经济建设;C. 文化建设;D. 社会文明,B
1,Multiple Choice,习近平新时代中国特色社会主义思想深刻阐发了以伟大建党精神为源头的中国共产党人的精神谱系，以及中国人民的( )精神，为实现中华民族伟大复兴提供了精神力量。,A. 伟大创造;B. 伟大团结;C. 伟大奋斗;D. 伟大梦想,ABCD
1,Multiple Choice,中国共产党为什么能，中国特色社会主义为什么好，归根到底是( )。,A. 马克思主义行;B. 获得广大人民的支持;C. 中国化时代化的马克思主义行;D. 共产党领导的好,AC
1,Multiple Choice,中国特色社会主义事业总体布局是“五位一体”、战略布局是“四个全面”，强调坚定( )。,A. 制度自信;B. 道路自信;C. 理论自信;D. 文化自信,ABCD
1,Multiple Choice,中国特色社会主义新时代，( )。,A. 是全国各族人民团结奋斗、不断创造美好生活、逐步实现全体人民共同富裕的时代;B. 是承前启后、继往开来，在新的历史条件下继续夺取中国特色社会主义伟大胜利的时代;C. 是决胜全面建成小康社会、进而全面建设社会主义现代化强国的时代;D. 全体中华儿女勠力同心、奋力实现中华民族伟大复兴中国梦的时代,ABCD
1,Multiple Choice,中国特色社会主义是( )。,A. 是根植于中国大地、反映中国人民意愿、适应中国和时代发展进步要求的社会主义;B. 是统揽伟大斗争、伟大工程、伟大事业、伟大梦想的社会主义;C. 是中国特色社会主义道路、理论、制度、文化四位一体的社会主义;D. 既坚持科学社会主义基本原则，又具有鲜明实践特色、理论特色、民族特色、时代特色的社会主义,ABCD
1,Multiple Choice,习近平指出：“中国特色社会主义，( )，是近代以来中国社会发展的必然选择，是历史和人民的选择。”,A. 凝聚着全国各族人民的奋斗和实践;B. 凝聚着千千万万革命先烈的奋斗和牺牲;C. 寄托着无数仁人志士的意愿和期盼;D. 承载着几代中国共产党人的理想和探索,ABCD
1,Multiple Choice,二十大报告指出，十年来，我们经历了对党和人民事业具有重大现实意义和深远历史意义的三件大事：( ),A. 完成脱贫攻坚、全面建成小康社会的历史任务，实现第一个百年奋斗目标;B. 中国特色社会主义进入新时代;C. 迎来中国共产党成立一百周年;D. 全面建设社会主义现代化国家,ABC
1,Multiple Choice,中国特色社会主义进入新时代的意义在于( )。,A. 意味着共产主义社会的实现;B. 意味着中华民族迎来了从站起来、富起来到强起来的伟大飞跃;C. 意味着拓展了发展中国家走向现代化的途径，为解决人类问题贡献了中国智慧和中国方案;D. 意味着科学社会主义在二十一世纪的中国焕发出强大生机活力,BCD
1,Multiple Choice,改革开放以来我们取得一切成绩和进步的根本原因，归结起来就是( )。,A. 形成了中国特色社会主义理论体系;B. 确立了中国特色社会主义制度;C. 开辟了中国特色社会主义道路;D. 发展了中国特色社会主义文化,ABCD
1,Multiple Choice,习近平指出：“中国特色社会主义，既坚持了( )基本原则，又根据( )赋予其鲜明的中国特色。”,A. 特色社会主义;B. 时代条件;C. 科学社会主义;D. 现实基础,BC
1,Multiple Choice,影响满足人民美好生活需要的因素很多，但主要是发展( )问题。,A. 不充分;B. 不完善;C. 不够快;D. 不平衡,AD
1,Multiple Choice,党在社会主义初级阶段的基本路线是：领导和团结全国各族人民，以经济建设为中心，( )，为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国而奋斗。,A. 坚持改革开放;B. 自力更生;C. 艰苦创业;D. 坚持四项基本原则,ABCD
1,Multiple Choice,中国共产党领导中国人民开创的中国特色社会主义是( )。,A. 在改革开放40多年的伟大实践中得来的;B. 在党领导人民进行伟大社会革命100多年的实践中得来的;C. 在对近代以来180多年中华民族发展历程的深刻总结中走出来的;D. 在中华人民共和国成立70多年的持续探索中得来的,ABCD
1,Multiple Choice,新时代中国特色社会主义是我们党领导人民进行伟大社会革命的成果，也是我们党领导人民进行伟大社会革命的继续，必须一以贯之进行下去。要全面贯彻党的( )，统筹推进“五位一体”总体布局和协调推进“四个全面”战略布局，以咬定青山不放松的定力持续奋斗，谱写新时代中国特色社会主义更加绚丽的华章。,A. 基本理论;B. 基本方略;C. 基本路线;D. 基本政策,ABC
1,Multiple Choice,我国社会主要矛盾的变化( )。,A. 没有改变我们对我国社会主义所处历史阶段的判断;B. 以上都正确;C. 我国是世界最大发展中国家的国际地位没有变;D. 我国仍处于并将长期处于社会主义初级阶段的基本国情没有变,ABCD
1,True or False,中国特色社会主义进入新时代，是中国和世界关系发生新变化的反映。,A. 对;B. 错,A
1,True or False,党的十八大以来，中国特色社会主义进入新时代，这是我国发展新的历史地位。,A. 对;B. 错,B
1,True or False,社会主义发展道路从来都不是笔直的，始终充满着险阻曲折，需要依靠顽强斗争打开事业发展新天地。,A. 对;B. 错,A
1,True or False,中国特色社会主义道路自信、理论自信、制度自信、文化自信，来源于实践、来源于人民、来源于真理。,A. 对;B. 错,A
1,True or False,我们党领导人民进行社会主义建设，有改革开放前和改革开放后两个历史时期，两个时期毫不相关。,A. 对;B. 错,B
2,Single Choice,我们坚持把(  )作为现代化建设的出发点和落脚点，着力维护和促进社会公平正义，着力促进全体人民共同富裕，坚决防止两极分化。,A. 建设人类精神家园;B. 社会稳定安宁;C. 提升人民生活水平;D. 实现人民对美好生活的向往,D
2,Single Choice,全面建成社会主义现代化强国的战略安排，把基本实现社会主义现代化的时间提前了( )年。,A. 25年;B. 15年;C. 35年;D. 10年,B
2,Single Choice,党的(  )提出新的“三步走”发展战略，明确到2010年使人民的小康生活更加宽裕。经过长期不懈努力，20世纪末，人民生活总体上达到小康水平的目标如期实现。,A. 十三大;B. 十五大;C. 十二大;D. 十六大,B
2,Single Choice,( )首次把“小康”作为经济建设总的奋斗目标。,A. 党的十一届三中全会;B. 党的十七大;C. 党的十五大;D. 党的十二大,D
2,Single Choice,2021年中国实现了9899万农村贫困人口全部脱贫，832个贫困县全部摘帽，12.8万个贫困村全部出列，区域性整体贫困得到解决，完成了消除( )的艰巨任务。,A. 绝对贫困;B. 整体贫困;C. 区域贫困;D. 相对贫困,A
2,Single Choice,新时代新征程中国共产党的(  )，就是团结带领全国各族人民全面建成社会主义现代化强国、实现第二个百年奋斗目标。,A. 中心任务;B. 根本任务;C. 根本目的;D. 重要目标,A
2,Single Choice,从全面建设社会主义现代化国家进程的阶段安排看来，到2035年，我国将( )。,A. 基本实现社会主义现代化;B. 实现中华民族伟大复兴的中国梦;C. 把我国建设成为富强美丽文明和谐的社会现代化强国;D. 全面建成小康社会,A
2,Single Choice,实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分两步走在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国，这是(  )。,A. 坚持和发展中国特色社会主义的总依据;B. 坚持和发展中国特色社会主义的总任务;C. 坚持和发展中国特色社会主义的总安排;D. 坚持和发展中国特色社会主义的总布局,B
2,Single Choice,以下不属于中国式现代化本质要求的是(    )。,A. 实现高质量发展;B. 全面建成小康社会;C. 坚持中国共产党领导;D. 促进人与自然和谐共生,B
2,Single Choice,以中国式现代化全面推进中华民族伟大复兴是一次新的长征，前途光明，任重道远。前进道路上，必须牢牢把握五个重大原则。以下表述中不属于五个重大原则的是(  )。,A. 坚持深化改革开放;B. 坚持全面依法治国;C. 坚持发扬斗争精神;D. 坚持以人民为中心的发展思想,B
2,Single Choice,一百年来，中国共产党团结带领中国人民进行的一切奋斗、一切牺牲、一切创造，归结起来就是一个主题()。,A. 建立新中国;B. 追求共同富裕;C. 实现人民对美好生活的向往;D. 实现中华民族伟大复兴,D
2,Single Choice,中国梦的本质是(   )。,A. 国家富强、民族振兴、人民幸福;B. 政治昌明、经济发展、社会和谐;C. 人民幸福、民族复兴、世界大同;D. 民主健全、科教进步、生态良好,A
2,Single Choice,改革开放之初，()同志首先用“小康”来诠释中国式现代化，明确提出到20世纪末“在中国建立一个小康社会”的奋斗目标。,A. 邓小平;B. 毛泽东;C. 习近平;D. 江泽民,A
2,Single Choice,改革开放后，面对唱衰中国的舆论在国际上不绝于耳，各式各样针对中国的“崩溃论”“失败论”从来没有中断过，中国非但没有崩溃，反而综合国力与日俱增，创造了世所罕见的两大奇迹:一是经济快速发展奇迹;二是(  )奇迹。,A. 人民幸福指数;B. 平均寿命提高;C. 物质财富丰富;D. 社会长期稳定,D
2,Single Choice,2021年7月1日，习近平在天安门城楼上庄严宣告，经过全党全国各族人民持续奋斗，我们实现了( )。,A. 社会主义现代化国家;B. 中华民族伟大复兴;C. 第一个百年奋斗目标;D. 社会主义现代化强国,C
2,Multiple Choice,中国共产党一经诞生，就把()确立为自己的初心使命。,A. 为中国人民谋幸福;B. 为党政干部谋发展;C. 为世界人民谋和平;D. 为中华民族谋复兴,AD
2,Multiple Choice,中国式现代化()。,A. 深深植根于中华优秀传统文化;B. 是一种全新的人类文明形态，但不可复制;C. 体现科学社会主义的先进本质;D. 代表人类文明进步的发展方向;E. 借鉴吸收一切人类优秀文明成果,ACDE
2,Multiple Choice,推进中国式现代化需要正确处理的重大关系是()。,A. 正确处理守正与创新的关系;B. 正确处理效率与公平的关系;C. 正确处理战略与策略的关系;D. 正确处理自立自强与对外开放的关系;E. 正确处理顶层设计与实践探索的关系,ABCDE
2,Multiple Choice,中国式现代化的特征是(  )。,A. 人与自然和谐共生的现代化;B. 物质文明和精神文明相协调的现代化;C. 全体人民共同发展的现代化;D. 人口规模巨大的现代化;E. 走和平发展道路的现代化,ABDE
2,Multiple Choice,按照“十四五”规划，到2035年我国将基本实现( )，建成现代化经济体系。,A. 城镇化;B. 农业现代化;C. 新型工业化;D. 信息化,ABCD
2,Multiple Choice,中国式现代化是人与自然和谐共生的现代化。我们坚持可持续发展，坚持( )为主的方针。,A. 节约优先;B. 人工干预;C. 保护优先;D. 自然恢复,ACD
2,Multiple Choice,我们确立了“两个一百年”奋斗目标，就是( )。,A. 到2020年实现国内生产总值和城乡居民人均收入比2010年翻一番，全面建成小康社会;B. 到2025年，实现工业强国目标;C. 到2035年，基本建成社会主义现代化国家;D. 到本世纪中叶建成富强民主文明和谐美丽的社会主义现代化国家，实现中华民族伟大复兴,AD
2,Multiple Choice,我国发展具有诸多过去难以想象的战略性有利条件，指的是( )。,A. 有中国特色社会主义制度的显著优势;B. 有长期稳定的社会环境;C. 有中国共产党的坚强领导;D. 有自信自强的精神力量;E. 有持续快速发展积累的坚实基础,ABCDE
2,Multiple Choice,中国梦是( )的梦，与世界各国人民的美好梦想相通。,A. 共赢;B. 发展;C. 和平;D. 合作,ABCD
2,Multiple Choice,中国梦的本质是()。,A. 民族振兴;B. 社会和谐;C. 国家富强;D. 人民幸福,ACD
2,Multiple Choice,党的二十大指出，新时代新征程中国共产党的中心任务，就是( )。,A. 以中国式现代化全面推进中华民族伟大复兴;B. 团结带领全国各族人民全面建成社会主义现代化强国;C. 贯彻新发展理念，促进高质量发展;D. 实现第二个百年奋斗目标,ABD
2,Multiple Choice,全面建成小康社会，强调的不仅是“小康”，更重要、更难做到的是“全面”。“小康”讲的是发展水平，“全面”讲的是发展的( )。,A. 主动性;B. 可持续性;C. 平衡性;D. 协调性,BCD
2,Multiple Choice,中华民族伟大复兴不是轻轻松松、敲锣打鼓就能实现的，必须充分认识实现中华民族伟大复兴的( )。,A. 连续性;B. 艰巨性;C. 长期性;D. 复杂性,BCD
2,Multiple Choice,中国式现代化的本质要求是( )。,A. 实现高质量发展;B. 发展全过程人民民主;C. 坚持中国共产党领导;D. 坚持中国特色社会主义;E. 实现全体人民共同富裕,ABCDE
2,Multiple Choice,党的十九大报告中提出全面建设社会主义现代化国家的进程分两个阶段来安排()。,A. 第二个阶段，从2035年到本世纪中叶，在基本实现现代化的基础上，再奋斗15年，把我国建成富强民主文明和谐美丽的社会主义现代化强国;B. 第一阶段，从2017年到2037年在全面建成小康社会的基础上，再奋斗15年，基本实现社会主义现代化;C. 第二个阶段，从2037年到本世纪中叶在基本实现现代化的基础上，再奋斗15年，把我国建成富强民主文明和谐美丽的社会主义现代化强国;D. 第一个阶段，从2020年到2035年，在全面建成小康社会的基础上，再奋斗15年，基本实现社会主义现代化,AD
2,True or False,独立自主是我们立党立国的重要原则，对外开放是我国的基本国策。推进中国式现代化，必须坚持独立自主、自立自强。,A. 对;B. 错,A
2,True or False,中国式现代化为广大发展中国家探索现代化道路提供了全新选择。,A. 对;B. 错,A
2,True or False,团结奋斗是中国共产党和中国人民最显著的精神标识，是中国人民创造历史伟业的必由之路。,A. 对;B. 错,A
2,True or False,全面建成小康社会，更重要、更难做到的是“小康”。,A. 对;B. 错,B
2,True or False,中国式现代化创造了人类文明新形态，为人类实现现代化提供了新的选择。,A. 对;B. 错,A
3,Single Choice,历史和现实证明，(   )就没有中国特色社会主义的产生与发展。,A. 没有中国共产党的监督;B. 没有中国共产党的指导;C. 没有中国共产党的组织;D. 没有中国共产党的领导,D
3,Single Choice,中国共产党以(  )作为行动指南，在实践中不断推进马克思主义中国化时代化，为坚持和完善中国特色社会主义制度提供强大理论优势。,A. 马克思主义;B. 人民共同富裕;C. 马克思主义中国化时代化;D. 如期全面建成小康社会,A
3,Single Choice,维护(  )，是一个成熟的马克思主义执政党的重大建党原则。,A. 党中央权威和集中统一领导;B. 中国特色社会主义制度;C. 全面依法治国;D. 人民当家作主,A
3,Single Choice,中国共产党是以( )为根本组织原则和领导制度。,A. 民主集中制;B. 党章;C. 政治纪律;D. 群众路线,A
3,Single Choice,(  )是实现中华民族伟大复兴的根本保证。,A. 人民当家作主;B. 中国共产党领导;C. 社会主义法治国家;D. 社会主义基本制度,B
3,Single Choice,中国共产党领导是国家治理体系的核心，(  )是中国特色社会主义制度建设的关键。,A. 社会主义制度;B. 民主集中制;C. 人民代表大会制度;D. 党的领导制度,D
3,Single Choice,(  )是中国特色社会主义制度优势的主要来源。,A. 中国共产党的自身优势;B. “两个一百年”;C. 社会主义改革开放;D. 科学社会主义,A
3,Single Choice,没有共产党就没有新中国的作者是( )。,A. 田汉;B. 曹火星;C. 冼星海;D. 贺敬之,B
3,Single Choice,(  )是马克思主义政党第一位的能力。,A. 思想引领力;B. 政治领导力;C. 社会号召力;D. 群众组织力,B
3,Single Choice,(  )是中国特色社会主义事业的坚强领导核心。,A. 人民;B. 中国共产党;C. 知识分子;D. 工人阶级,B
3,Single Choice,(  )将党的领导制度明确为我国根本领导制度。,A. 党的十九届三中全会;B. 党的十九届五中全会;C. 党的十九届四中全会;D. 党的十九大,C
3,Single Choice,(  )是中国特色社会主义最本质的特征。,A. “五位一体”总体布局;B. 以人为本;C. 中国共产党的领导;D. 以经济建设为中心,C
3,Single Choice,习近平指出:“一定要认清，中国最大的国情就是( )。什么是中国特色?这就是中国特色。”,A. 吃饭是个山大的问题;B. 人均GDP世界第二;C. 人口14亿;D. 中国共产党的领导,D
3,Single Choice,中国共产党是以(  )为根本组织原则和领导制度的马克思主义政党。,A. 社会主义;B. 政治协商制度;C. 民主集中制;D. 党内监督,C
3,Single Choice,党的领导制度是我国的( )领导制度。,A. 重要;B. 根本;C. 政策策略;D. 基本,B
3,Single Choice,维护党中央权威和集中统一领导，最关键的是( )。,A. 修改党章，加强党中央权力;B. 坚决维护习近平同志党中央的核心、全党的核心地位;C. 实行民主集中制;D. 严明政治纪律,B
3,Single Choice,( )是党的领导的最高原则，是党保持团结统一和强大战斗力的关键所在。,A. 党中央集中统一领导;B. 实事求是;C. 群众路线;D. 民主集中制,A
3,Multiple Choice,党的领导是( )，必须贯穿到治国理政的方方面面。,A. 系统的;B. 整体的;C. 全面的;D. 多层次的,ABC
