4,Single Choice,( )是中国共产党的根本政治立场，是马克思主义政党区别于其他政党的显著标志。,A. 人民立场;B. 历史唯物主义;C. 英雄;D. 辩证唯物主义,A
4,Single Choice,共同富裕是一个长远目标，需要一个过程，不可能一蹴而就，到本世纪中叶()。,A. 全体人民共同富裕迈出坚实步伐;B. 全体人民共同富裕基本实现;C. 全体人民共同富裕全面实现;D. 全体人民共同富裕取得更为明显的实质性进展,B
4,Multiple Choice,坚持以人民为中心的发展思想，就要在高质量发展中促进共同富裕，做到发展( )、发展( )、发展( )。,A. 成果由人民共享;B. 为了人民;C. 依靠人民;D. 服务人民,ABC
4,Multiple Choice,中国共产党()在人民、()在人民、()在人民。,A. 力量;B. 血脉;C. 立场;D. 根基,ABD
5,Single Choice,(  )是经济社会发展的强大动力。,A. 稳定;B. 发展;C. 改革;D. 开放,C
5,Single Choice,全面深化改革的出发点和落脚点是(  )。,A. 进一步解放和增强社会活力;B. 促进社会公平正义、增进人民福祉;C. 进一步完善社会主义制度;D. 进一步解放和发展社会生产力,B
5,Single Choice,全面深化改革必须始终站稳(  )立场，坚持以(  )为中心的改革价值取向。,A. 质量;B. 制度;C. 发展;D. 人民,D
5,Single Choice,(  )会议对新时代全面深化改革勾勒出更加清晰的顶层设计。,A. 十九届六中全会;B. 十九届五中全会;C. 十九届四中全会;D. 十九届三中全会,C
5,Single Choice,(  )是解决一切经济社会问题的关键。,A. 改革;B. 开放;C. 稳定;D. 发展,D
5,Single Choice,全面深化改革总目标是一个内涵丰富的有机整体，其中(  )规定了在根本方向指引下完善和发展中国特色社会主义制度的鲜明指向。,A. 完善和发展中国特色社会主义制度;B. 推动各方面制度更加成熟更加定型;C. 推进国家治理体系和治理能力现代化;D. 发挥中国特色社会主义制度的优越性,C
5,Single Choice,(  )是运用国家制度管理国家各方面事务的能力。,A. 治理体系;B. 管理能力;C. 协调能力;D. 治理能力,D
5,Multiple Choice,改革开放要坚守政治原则和底线，不是改弦易张。这里面最核心的是( )、( )，偏离了这一条，那就南辕北辙了。,A. 坚持和改善党的领导;B. 建成社会主义现代化国家;C. 坚持和改善人民代表大会制度;D. 坚持和完善中国特色社会主义制度,AD
5,Multiple Choice,关于全面深化改革总目标，下列说法正确的是( )。,A. 完善和发展中国特色社会主义制度，明确了改革的鲜明指向和时代要求;B. 推进国家治理体系和治理能力现代化，明确了改革的鲜明指向和时代要求;C. 完善和发展中国特色社会主义制度，规定了改革的根本方向;D. 推进国家治理体系和治理能力现代化，规定了改革的根本方向,BC
6,Single Choice,()是实现高质量发展的指导原则。,A. 供给侧结构性改革;B. 新发展理念;C. 新发展方位;D. 新发展阶段,B
6,Single Choice,()是新时代我国发展壮大的必由之路。,A. 坚持党的全面领导;B. 贯彻新发展理念;C. 团结奋斗;D. 中国特色社会主义,B
6,Multiple Choice,高质量发展关系我国社会主义现代化建设全局，具有重大战略意义，包括()。,A. 高质量发展为全面建设社会主义现代化国家提供更为坚实的物质基础;B. 高质量发展是全面建成小康社会的必由之路;C. 高质量发展是维护国家长治久安的必然要求;D. 高质量发展是不断满足人民对美好生活需要的重要保证,ACD
6,Single Choice,全面建成小康社会、实现第一个百年奋斗目标之后，我们要乘势而上开启全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军，这标志着我国进入了一个()。,A. 新发展方位;B. 新发展阶段;C. 新发展时期;D. 新发展格局,B
6,Multiple Choice,新发展阶段是()。,A. 我国社会主义初级阶段历史进程中的一个重要阶段;B. 全面建成小康社会、实现第一个百年奋斗目标的重要阶段;C. 中国共产党带领人民迎来从站起来、富起来到强起来历史性跨越的新阶段;D. 全面建设社会主义现代化国家、向第二个百年奋斗目标进军的重要阶段,ACD
6,Single Choice,党的十八大以来，我国经济已由高速增长阶段转向()阶段。,A. 高质量发展;B. 强动力转换;C. 世界级市场;D. 高水平开放,A
6,Single Choice,()的发展理念，相互融通、相互促进，是具有内在联系的集合体，要统一贯彻，不能顾此失彼，也不能相互替代。,A. 改革、和谐、绿色、开放、共享;B. 创新、协调、绿色、开放、共享;C. 创新、协调、和谐、开放、共享;D. 创新、和谐、绿色、开放、发展,B
6,Single Choice,()是引领发展的第一动力。,A. 科技;B. 劳动力;C. 资本;D. 创新,D
7,Single Choice,"2023年5月29日,中共中央政治局就建设教育强国进行第五次集体学习。习近平在主持学习时强调,我们要建设的教育强国,是中国特色社会主义教育强国。建设中国特色社会主义教育强国的根本保障是(    )。",A. 立德树人;B. 为党育人、为国育才;C. 坚持党对教育事业的全面领导;D. 支撑引领中国式现代化,C
7,Multiple Choice,加快建设科技强国，必须(  )。,A. 加快关键核心技术攻关;B. 发挥新型举国体制优势;C. 完善国家创新体系;D. 坚持走中国特色自主创新道路;E. 实现高水平科技自立自强,ABCDE
7,Single Choice,落实立德树人根本任务，必须着力解决好(    )、(    )、(    )的问题，这是教育的根本问题。,A. 培养什么人、怎样培养人、为谁培养人;B. 为谁培养人、培养什么人、怎样培养人;C. 怎样培养人、为谁培养人、培养什么人;D. 培养什么人、为谁培养人、怎样培养人,A
7,Single Choice,教育是国之大计、党之大计，是功在当代、利在千秋的德政工程。发展教育的根本尺度是(    ),A. 服务中华⺠族伟大复兴;B. 价值观塑造;C. 人⺠满意;D. 立德树人,C
7,Single Choice,打赢关键核心技术攻坚战，必须深入推进()。,A. 增强自主创新能力;B. 科技体制改革;C. 创新资源有效配置;D. 激发创新主体活力,B
7,Single Choice,(  )是全面建设社会主义现代化国家的强大动力。,A. 科技;B. 创新;C. 人才;D. 教育,A
7,Multiple Choice,我们坚持发展是第一(  )、创新是第一(  )、人才是第一(  )，确立人才引领发展的战略地位。,A. 要素;B. 资源;C. 动力;D. 要务,BCD
7,Single Choice,"2023年5月29日,中共中央政治局就建设教育强国进行第五次集体学习。习近平在主持学习时强调,我们要建设的教育强国,是中国特色社会主义教育强国。建设中国特色社会主义教育强国的根本任务(   )",A. 支撑引领中国式现代化;B. 立德树人;C. 为党育人、为国育才;D. 服务中华民族伟大复兴,B
7,Multiple Choice,"全面建设社会主义现代化国家,(  )。",A. 教育是根本;B. 改革是保证;C. 人才是基础;D. 科技是关键,ACD
7,Multiple Choice,坚持党对人才工作的全面领导是做好人才工作的(    )，坚持深化人才发展体制机制改革是做好人才工作的(    )，坚持营造识才爱才敬才用才的环境是做好人才工作的(    )。,A. 社会条件;B. 基本支撑;C. 根本保证;D. 重要保障,ACD
7,Multiple Choice,建设教育强国，(  )。,A. 是促进全体人民共同富裕的有效途径;B. 是实现高水平自立自强的重要支撑;C. 是以中国式现代化全面推进中国民族伟大复兴的基础工程;D. 是全面建成社会主义现代化强国的战略先导,ABCD
7,Single Choice,"教育、科技、人才是全面建设社会主义现代化国家的基础性、战略性支撑。要坚持创新在我国现代化建设全局中的核心地位。党的二十大报告提出的到2035年我国发展的总体目标中,科技的目标是(    )","A. 实现高水平科技自立自强,进入创新型国家行列;B. 实现高水平科技自立自强,进入创新型国家前列;C. 建成世界科技创新强国;D. 科技自立自强能力显著提升",B
7,Multiple Choice,实施人才强国战略，( )，实施更加积极、更加开放、更加有效的人才政策。,A. 完善人才战略布局;B. 深化人才发展体制机制改革;C. 要坚持党管人才原则;D. 坚持尊重劳动、尊重知识、尊重人才、尊重创造,ABCD
7,True or False,关键核心技术是国之重器，只有把最关键最核心的技术掌握在自己手中，才能从根本上保障国家经济安全、国防安全和其他安全。,A. 对;B. 错,A
7,Multiple Choice,"教育是国之大计、党之大计,是民族振兴、社会进步的基石。建设教育强国是(   )。",A. 促进全体人民共同富裕的有效途径;B. 以中国式现代化全面推进中华民族伟大复兴的基础工程;C. 全面建成社会主义现代化强国的首要任务;D. 实现高水平科技自立自强的重要支撑,ABD
7,Single Choice,2023年5月29日，中共中央政治局就建设教育强国进行第五次集体学习。习近平在主持学习 时强调，我们要建设的教育强国，是中国特色社会主义教育强国。建设教育强国的根本目标是(   ),A. 为党育人、为国育才;B. 立德树人;C. 支撑引领中国式现代化;D. 服务中华⺠族伟大复兴,A
7,Multiple Choice,推进教育、科技、人才事业发展，要紧紧围绕全面建设社会主义现代化国家战略需求，尊重教育、科技、人才事业发展客观规律，坚持(   )、坚持(   )、坚持(   )。,A. 人才引领驱动;B. 科技自立自强;C. 教育优先发展;D. 创新驱动发展,ABC
7,Single Choice,"科技是国之利器,国家赖之以强,企业赖之以嬴,人民生活赖之以好。中国要强,中国人民生活要好,必须有强大科技。创新始终是一个国家、一个民族发展的不竭动力。科技创新的源头是(    )",A. 关键共性技术、前沿引领技术创新;B. 现代工程技术、颠覆性技术创新;C. 国家战略科技力量;D. 基础研究,D
7,Multiple Choice,实现高水平科技自立自强是(   )。,A. 国家强盛和民族复兴的战略基石;B. 满足人民美好生活需要的内在要求;C. 推动高质量发展的内在要求;D. 应对风险挑战和维护国家利益的必然选择;E. 构建新发展格局的内在要求,ABCDE
7,Multiple Choice,实施(    )、(    )、(    )，是增强综合国力、满足人民群众美好生活需要的必然要求，是建设教育强国、科技强国、人才强国的重大举措，对于全面建设社会主义现代化国家具有重要战略意义。,A. 科教兴国战略;B. 人才强国战略;C. 创新驱动战略;D. 可持续发展战略,ABC
7,Single Choice,教育是根本，科技是关键，人才是基础，必须坚持创新是引领发展的(  )。,A. 第一生产要素;B. 第一资源;C. 第一战略目标;D. 第一动力,D
8,Multiple Choice,全过程人民民主是()的民主。,A. 最真实;B. 最直接;C. 最管用;D. 最广泛,ACD
8,Single Choice,统战工作的本质要求是(  )，解决的就是人心和力量问题。,A. 大团结大联合;B. 全过程人民民主;C. 社会主义发展;D. 人民民主,A
8,Single Choice,"党的领导是统一战线最鲜明的特征,(  )是统一战线最核心最根本的问题。",A. 人民当家作主;B. 人民民主专政;C. 坚持党的领导;D. 团结联合,C
8,Single Choice,人民民主建立在(  )基础之上，体现了社会主义国家的性质，反映了社会主义制度的本质要求，是一种新型的社会主义民主。,A. 人民当家作主;B. 社会主义法治;C. 社会主义制度;D. 社会主义经济,D
8,Multiple Choice,中国特色社会主义政治制度是(  )的伟大创造，是具有强大自我完善和自我发展能力、强大生命力和显著优越性的先进制度。,A. 中国共产党;B. 工人阶级;C. 知识分子;D. 中国人民,AD
8,Multiple Choice,党对统一战线的领导主要是政治领导，即(  )的领导，主要体现为党委领导而不是部门领导、集体领导而不是个人领导。,A. 政治参与;B. 政治原则;C. 政治方向;D. 重大方针政策,BCD
8,Multiple Choice,要坚持和完善中国共产党领导的多党合作和政治协商制度，坚持(  )有机结合，发挥人民政协作为专门协商机构的作用，加强制度化、规范化、程序化等功能建设。,A. 协商民主;B. 政治参与;C. 党的领导;D. 统一战线,ACD
8,Single Choice,(  )把发展全过程人民民主作为习近平新时代中国特色社会主义思想的重要内容。,A. 党的二十大;B. 党的十八届四中全会;C. 党的十九大;D. 党的十九届六中全会,D
8,Single Choice,从小院议事厅到板凳民主，从线下圆桌会到线上议事群体现的民主形式是(  ),A. 协商民主;B. 长期民主;C. 依法监督;D. 基层民主,D
8,Single Choice,要坚定不移走(  )，不断健全人民当家作主的制度体系，把人民当家作主体现到国家政治生活和社会生活各方面。,A. 中国特色社会主义法治道路;B. 中国特色社会主义民主道路;C. 中国特色社会主义道路;D. 中国特色社会主义政治发展道路,D
8,Multiple Choice,走中国特色社会主义政治发展道理，必须坚持()有机统一。,A. 全过程人民民主;B. 人民当家作主;C. 党的领导;D. 依法治国,BCD
8,Multiple Choice,全过程人民民主是(  )的统一。,A. 过程民主;B. 广泛民主;C. 成果民主;D. 真实民主,AC
8,Multiple Choice,要适应扩大人民民主、促进经济社会发展的新要求，持续推进社会主义民主政治(  )，巩固和发展生动活泼、安定团结的政治局面。,A. 制度化;B. 规范化;C. 法治化;D. 程序化,ABD
8,True or False,一个国家的政治制度取决于这个国家的经济社会基础，同时又反作用于这个国家的经济社会基础，乃至于起到决定性作用。,A. 对;B. 错,A
